rank,title,author,category,monthly_tickets,ip_score,ip_grade
34,大秦：寒门小娇妻,君夜,历史,3538,71.03020982763293,B
35,仙佛浩劫,团子大,科幻,1506,70.57581242188864,B
36,问鼎青云：从退役功臣到权力之巅,沧海横流,都市,886,70.31507616586369,B
37,深渊季节,一瞬光影,玄幻奇幻,2372,70.2857620692756,B
38,大雪满龙刀,乱世狂刀,玄幻奇幻,610,70.27037623691157,B
39,鸿蒙霸体诀,鱼初见,玄幻奇幻,674,70.20015287432494,B
40,天命：从大业十二年开始,赵子曰,历史,697,70.17095635238701,B
41,割鹿记,无罪,历史,591,70.04571197197795,B
42,都市古仙医2：大医镇世,超爽黑啤,都市,1045,70.02258918254411,B
43,神洲异事录,星河入海流,玄幻奇幻,712,69.82112137241876,C
44,葬天刀,赵冲,玄幻奇幻,1129,69.65999548276703,C
45,剑动仙朝,一叶青天,玄幻奇幻,722,69.48253504127706,C
46,屠狗之辈,关中老人,都市,399,69.34200269933937,C
47,边军悍卒,木有金箍,历史,635,69.2589211430673,C
48,剑斩仙门,蜗牛狂奔,玄幻奇幻,905,69.20644190151701,C
49,五仙门,看得两叁言,武侠仙侠,390,69.20358864882377,C
50,逍遥四公子,修果,历史,582,69.1845694960606,C
51,混沌川海,南蚊,武侠仙侠,806,69.1469480385076,C
52,邪龙归来：冰山总裁疯狂倒贴,步千帆,都市,2173,69.05388392727427,C
53,权力巅峰,任风萧,都市,442,68.84603177424597,C
54,极诣剑仙：从砍柴开始无敌,执笔葬青春,玄幻奇幻,877,68.50176830478927,C
55,盖世神医,狐颜乱语,都市,386,68.29993698576713,C
56,极道剑尊,二十七杯酒,玄幻奇幻,387,68.19333007168615,C
57,从鉴灵院开始逆袭成神,长风天行,玄幻奇幻,714,68.18320104301742,C
58,边关兵王：从领娶罪女开始崛起,青岳,历史,572,67.96545240854694,C
59,从县委书记到权力巅峰,任语丁,都市,383,67.79784186498675,C
60,步步登阶,江湖如梦,都市,416,67.67880572173418,C
61,葬神棺,浮生一诺,玄幻奇幻,331,67.63279447145446,C
62,重生1958：从窝在深山打猎开始,妖道无涯,都市,320,67.48879227025529,C
63,万相之王,天蚕土豆,玄幻奇幻,662,67.4682852854667,C
64,人在朝天宗，大师姐要我助她修行,秋风揽月,玄幻奇幻,1511,67.41882436807003,C
65,舔狗反派只想苟，女主不按套路走！,我是愤怒,都市,353,67.4117411253005,C
66,天神下凡,烽火戏诸侯,玄幻奇幻,229,67.36651160322906,C
67,大燕斩妖人,独孤老道,玄幻奇幻,1101,67.25196498754522,C
68,我和总裁师妹一起干翻系统,地瓜舟,都市,1139,67.15499501997363,C
69,武道长生，从大离第一纨绔开始,借我三两风,玄幻奇幻,413,67.15162991040633,C
70,不是说好解毒么，怎么成仙帝了？,抹茶春卷,玄幻奇幻,375,67.11453754583734,C
71,无敌剑道,贪睡的龙,玄幻奇幻,627,66.84759062941255,C
72,斩妖除魔：我镇压诸天亿万妖魔,杯中酒,玄幻奇幻,595,66.74605608232822,C
73,末世：求生游戏，我跟丧尸学斩仙,十阶浮屠,科幻,256,66.70393170952379,C
