status,title,month,year,word_count,interaction,finance,week_recommend,fans_count,author,popularity,platform,novel_id,category,is_sign,abstract,IP_Score
0,苟在初圣魔门当人材,9,2025,3000899,1508899,106088,28700,250,鹤守月满池,1479969,qidian,1043182343,东方玄幻,0,吕阳穿越修仙界，却成了魔门初圣宗的弟子。 幸得异宝【百世书】，死后可以重开一世，让一切从头再来，还能带回前世的宝物，修为，寿命，甚至觉醒特殊的天赋。 奈何次数有限，并非真的不死不灭。 眼见修仙界乱世将至，吕阳原本决定先在魔门苟住，一世世苦修，不成仙不出山，奈何魔门凶险异常，遍地都是人材。 第一世，吕阳惨遭师姐暗算。 第二世，好不容易反杀师姐，又遭师兄毒手。 第三世，第四世…… 直到百世之后，再回首，吕阳才发现自己已经成为了一代魔道巨擘，初圣宗里最畜生的那一个。 “魔门个个都是人材，说话又好听。” “我超喜欢这里的！”,85.51566644285514
0,没钱修什么仙？,9,2025,2733000,2633399,85977,30900,264,熊狼狗,1780040,qidian,1042256511,修真文明,0,老者：“你想报仇？” 少年：“我被强者反复侮辱，被师尊视为垃圾，我怎么可能不想报仇？” 老者摸了摸少年的脑袋，叹道：“好孩子，我来传功给你吧。” 少年惊道：“前辈！这怎么行？” 老者伸出手：“把你手机给我。” 少年看着手机上的变化，震惊道：“前辈！这哪里来的百年功力？” 老者微微一笑：“好孩子，这是你在天庭的备用功力，以后急用的时候随用随取，别再被人侮辱了。” 少年皱眉：“这不是法力贷吗？我怕……” 老者：“天庭是大平台，新用户借百年功力有30天免息，日息最低半天功力，还没你吐纳一周天多。” …… 张羽冷哼一声，关掉了上面的广告。,85.79208461366848
0,夜无疆,9,2025,2613900,8215000,57795,72900,143,辰东,2751351,qidian,1040765595,东方玄幻,0,那一天太阳落下再也没有升起…………………,86.63543239013272
0,玄鉴仙族,9,2025,5090000,4492900,83600,59000,762,季越人,7674313,qidian,1035420986,修真文明,0,陆江仙熬夜猝死，残魂却附在了一面满是裂痕的青灰色铜镜上，飘落到了浩瀚无垠的修仙世界。 凶险难测的大黎山，眉尺河旁小小的村落，一个小家族拾到了这枚镜子，于是传仙道授仙法，开启波澜壮阔的新时代。 (家族修仙，不圣母，种田，无系统，群像文),90.1524334102208
0,异度旅社,9,2025,1920600,3439100,28762,29200,99,远瞳,907112,qidian,1041604040,时空穿梭,0,在日常之下，在理性尽头，在你所熟悉的世界之外——是你从未想象过的风景。 当于生第一次打开那扇门的时候，他所熟悉的世界便轰然倒塌。 而那直抵世界根源的“真相”，扑面而来。,80.09794884956258
0,赤心巡天,9,2025,10417600,7430200,24958,19200,79,情何以甚,3869434,qidian,1016530091,古典仙侠,0,（《赤心巡天》实体书已在全网发售。） 上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦…… 这个世界发生了什么？ 那埋葬于时间长河里的历史真相，谁来聆听？ 山河千里写伏尸，乾坤百年描饿虎。 天地至公如无情， 我有赤心一颗、以巡天！ —————— 欢迎来到，情何以甚的仙侠世界。,84.24362014674712
0,借剑,9,2025,1070800,356500,27822,5887,19,幼儿园一把手,650967,qidian,1045165156,幻想修仙,0,“就在刚才，我的剑被一声【万剑归宗】给叫走了，怎么办？” “在线等，挺急的，也不知道还不还……”,76.70964387561216
0,青山,9,2025,1749500,2193400,15838,9167,45,会说话的肘子,1323811,qidian,1033014772,东方玄幻,0,少时光阴长，泼酒翻红巷。权为砖墙利为瓦，宾朋倚满帐。 醒来恨日短，大梦二十转。忽觉同行常八九，真心无二三。 噫吁兮，听雪孤舟上，坐看天地远。,78.36498547629984
0,我的化身正在成为最终BOSS,9,2025,1792100,370400,3460,898,15,汐尺,600156,qidian,1042464636,原生幻想,0,平平无奇地生活了十多年后，某天夜里，姬明欢忽然觉醒了一个能够“在现实世界创建游戏角色”的异能，并且每一个角色都有自己的主线任务、独特的技能树系统。 自那之后他一发不可收拾，在现实世界不断创建新的角色、开发技能树、培养角色系统……只要提升角色的知名度就能加强角色的能力，于是他开始大肆捣乱，为了吸引眼球而无所不用其极，像是一根搅屎棍似的在一众超级英雄和超级反派里反复周旋。 等回过神时，姬明欢坐在月球上盯着满目苍痍的蓝星，不禁低声感慨道： “我一开始真没想毁灭世界。”,68.59283160893472
0,神的模仿犯,9,2025,985699,296600,18438,4974,15,青衫取醉,424444,qidian,1045354296,游戏异界,0,十二名身份各异的男女被邀请进入新世界。 在这里，他们不仅要通过议案投票来决定自己的生活方式，还要不断参与生死游戏来延长自己的签证时间。 而这些生死游戏的设计者，其实就在他们中间。,73.8062000301149
0,天命之上,9,2025,3167000,793800,10467,5543,45,风月,648364,qidian,1039831421,原生幻想,0,世界自毁灭之后重建。 于危崖之上，再起万丈高楼。 被称为天选者的人们活跃在现实的幕后，行走在历史的阴影中，掌握超凡脱俗的力量，领受着崇拜与敬畏。 有人说他们身负天命，万中无一。 可季觉对天命不感兴趣。 他只想有朝一日，去看一看天命之上的风景。 “……” 记录者写到这里停下了笔，看向那个满手油污的汽修工：“所以，这就是你破坏国际秩序、贩卖禁忌武器、资助颠覆组织、引发两极大战、图谋暗中统治世界的理由？” “关我屁事儿！” 季觉翻了个白眼：“我就是一个破修车的！”,73.81384934786901
0,山河稷,9,2025,1974700,845100,57953,9574,389,姬叉,661221,qidian,1043748975,幻想修仙,0,且夫天地为炉兮，造化为工；阴阳为炭兮，万物为铜。 ——终有一天，要让这祭炼世界的炉火，换成属于我的火焰。 ——稷，祀也，社而稷之。,80.45076386073154
0,诡秘之主,9,2025,4465000,35982100,24205,25099,346,爱潜水的乌贼,17532599,qidian,1010868264,异世大陆,0,诡秘之主动画已经在腾讯视频上播出，欢迎大家前去观看！ 蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界： 枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。,89.81987864703986
0,1979黄金时代,9,2025,2966500,3088000,3443,4643,7,睡觉会变白,927060,qidian,1039689097,都市生活,0,这还是一个有点怀旧的故事，嗯………………,71.95842441469998
