title,author,category,abstract,status,platform,word_count,popularity,interaction,finance,fans_count,week_recommend
十三皇子,壹两二锅头,历史,,完结,Zongheng,1309495,239218,8740,77,107,0
超品赘婿,了无忧,都市,,完结,Zongheng,2000315,660935,6370,84,38,0
风吹春又生,文念,历史,,完结,Zongheng,284642,127134,4787,277,275,0
诗剑飘香,西江清月,武侠仙侠,,完结,Zongheng,1035359,32664,4667,163,133,0
我老婆是宇宙之心,倔强的小白鼠,玄幻奇幻,,完结,Zongheng,1642139,53972,2698,63,30,0
天道新主,怪异的芒果,玄幻奇幻,,完结,Zongheng,412296,25641,1941,513,0,0
暴力书生,书生煮酒,玄幻奇幻,,完结,Zongheng,477326,19382,366,47,94,0
通天鸿徒,苏D健身,玄幻奇幻,,完结,Zongheng,1526540,76110,5886,90,123,0
御魔老祖,直八,武侠仙侠,,完结,Zongheng,523121,13423,1905,118,48,0
山海三国志,木木归林,历史,,完结,Zongheng,1198756,16829,983,35,20,0
剑仙在此,乱世狂刀,玄幻奇幻,,完结,Zongheng,5102580,96128160,10135716,18964,2894,36
巅峰之纪,把水问青天,科幻,,完结,Zongheng,1235791,420649,25433,504,36,0
仙游四海,梦之忧伤,武侠仙侠,,完结,Zongheng,1323097,65880,6434,42,184,0
世界探宝异闻录,轻雨初晨,奇闻异事,,完结,Zongheng,1081691,32827,7478,114,20,0
魔法丹师,口回品,玄幻奇幻,,完结,Zongheng,1013591,13029,129,32,2,0
这个世界很危险,叶知风,武侠仙侠,,完结,Zongheng,4390100,4141713,38563,64,67,0
遣返者的游戏,泓森,玄幻奇幻,,完结,Zongheng,2045940,18810972,2778938,59,768,0
边城诡事,洛疑,奇闻异事,,完结,Zongheng,729060,17034,1688,235,58,0
太荒吞天诀,铁马飞桥,玄幻奇幻,,连载,Zongheng,14787195,91328588,204833,350,10066,969
逐鹿客,君玉珩,历史,,完结,Zongheng,1149659,25888,1100,72,24,0
天网,蓝盔之恋,都市,,完结,Zongheng,2542585,40479,2557,55,6,0
赘婿出山,李闲鱼,都市,,完结,Zongheng,7860552,32106436,1861609,4675,1015,48
非洲酋长,更俗,都市,,完结,Zongheng,2042541,6975090,689615,7695,1166,0
全音阶狂潮,灵宇,都市,,连载,Zongheng,7285162,6187478,1317485,180,1218,116
仙都,陈猿,玄幻奇幻,,连载,Zongheng,5841689,7245816,436470,554,617,131
雪中悍刀行,烽火戏诸侯,玄幻奇幻,,完结,Zongheng,4615353,122877749,10739808,77,15230,56
天道天骄,拈花一叶,玄幻奇幻,,连载,Zongheng,18297742,2213590,50708,617,77,0
祭炼山河,食堂包子,玄幻奇幻,,完结,Zongheng,6898752,411543996,33736783,63,589,0
星辰之主,减肥专家,科幻,,连载,Zongheng,7896999,16788755,3523658,1034,3135,3032
逆天邪神,火星引力,玄幻奇幻,,连载,Zongheng,7866492,339915388,3866818,1431,71219,7414
最强狂兵,烈焰滔滔,都市,,完结,Zongheng,16822970,207730103,2622765,4592,13313,75
天刑纪,曳光,武侠仙侠,,完结,Zongheng,4984428,2085596,187649,151,331,0
一世独尊,月如火,玄幻奇幻,,完结,Zongheng,7830380,28780517,243050,128,4467,8
一剑倾国,一介白衣,武侠仙侠,,完结,Zongheng,4822439,696979,43265,133,210,0
最强逆袭,关中老人,都市,,完结,Zongheng,3950697,508948040,40672843,82,1850,0
剑来,烽火戏诸侯,武侠仙侠,,连载,Zongheng,13059580,353687025,18733476,21143,158296,4119
末日崛起,太极阴阳鱼,科幻,,连载,Zongheng,7991075,5553990,425137,156,372,7
大明春色,西风紧,历史,,完结,Zongheng,3122995,10963566,537011,489,1990,0
元尊,天蚕土豆,玄幻奇幻,,完结,Zongheng,3792308,859615920,727911,121,17628,68
平天策,无罪,武侠仙侠,,完结,Zongheng,3026812,103751196,12674907,379,1674,0
踏星,随散飘风,科幻,,完结,Zongheng,17017670,130694667,1348831,1127,13277,40
