title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score
九龙夺嫡，我真不想当太子,三山风,1323700.0,2880,77300,连载,历史,Qidian,21.59406163305091
神话版三国,坟土荒草,23204699.0,5874,11311600,连载,历史,Qidian,2.5302934145301648
红楼芳华，权倾天下,爱车的z,1704100.0,8946,123100,连载,历史,Qidian,52.19065398751532
大哥说我天下无敌,历史系之狼,1288500.0,5485,103200,连载,历史,Qidian,42.24104736234116
创业在晚唐,痴人陈,2774300.0,4984,99800,连载,历史,Qidian,17.90036993140107
文豪1879：独行法兰西,长夜风过,1299500.0,4851,61700,连载,历史,Qidian,37.044673539518904
五代风华,怪诞的表哥,743300.0,4323,100700,连载,历史,Qidian,57.387495021903625
绍宋,榴弹怕水,2757600.0,2111,3511600,完本,历史,Qidian,7.627547333429686
朕真的不务正业,吾谁与归,8002800.0,3094,420200,连载,历史,Qidian,3.861321884984026
我在俄国当文豪,卡拉马佐夫,1169300.0,2726,93000,连载,历史,Qidian,23.115407445094547
大宋文豪,西湖遇雨,1289800.0,8092,106700,连载,历史,Qidian,62.25573165102324
晋末长剑,孤独麦客,5105300.0,1697,1955200,完本,历史,Qidian,3.317498484937345
高门庶子,一片雪饼,1163100.0,1503,77700,连载,历史,Qidian,12.812206972977581
远山破阵曲,孑与2,1111200.0,2508,295600,连载,历史,Qidian,22.368890474491614
神明调查报告,黑山老鬼,1165800.0,30001,213100,连载,科幻,Qidian,255.15393774451437
异度旅社,远瞳,1911000.0,25358,3424100,连载,科幻,Qidian,132.00416449765748
万历明君,鹤招,1489000.0,3270,613100,连载,历史,Qidian,21.81454302868579
娘子，别这样！,乌鸦飞呀飞,2994600.0,1179,51300,连载,历史,Qidian,3.923983225720562
天才游乐场,城城与蝉,449400.0,10817,48700,连载,科幻,Qidian,235.45929473225948
堑壕大栓与魔法,咸嘉湖灵感大王,1226500.0,5655,81700,连载,科幻,Qidian,45.7339264051759
科技入侵现代,鸦的碎碎念,2489900.0,3814,174300,连载,科幻,Qidian,15.256610264410575
我们小区又穿越了,我有七只猫,635200.0,3491,47900,连载,科幻,Qidian,54.107253564786106
