title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score,cluster,tier
灵境行者,卖报小郎君,4179400.0,699,6403800,完本,科幻,Qidian,1.668496682102449,1,C级普通
深海余烬,远瞳,2590100.0,1124,5817200,完本,科幻,Qidian,4.322910657282413,1,C级普通
招黑体质开局修行在废土,陈风笑,8429200.0,2394,3176800,连载,科幻,Qidian,2.836761778367618,2,B级腰部
末世第一狠人,差不多了,3490299.0,1071,121300,连载,科幻,Qidian,3.0597386109015257,1,C级普通
天才俱乐部,城城与蝉,2834700.0,1012,610700,完本,科幻,Qidian,3.5574928814989275,1,C级普通
玩家重载,,,0,0,未知,,Qidian,,1,C级普通
重生末日前：我的后盾是国家,零点有雨,695300.0,1402,53200,连载,科幻,Qidian,19.878066071175382,1,C级普通
神的模仿犯,青衫取醉,972600.0,17458,294300,连载,游戏,Qidian,177.67148381844086,3,A级潜力
吞噬星空,我吃西红柿,4784600.0,778,7998000,完本,科幻,Qidian,1.622658824510908,2,B级腰部
怪物来了,一刀斩斩斩,3339700.0,13597,187300,连载,游戏,Qidian,40.59169477863689,1,C级普通
超维度玩家,诸生浮屠,2112700.0,1645,269000,连载,游戏,Qidian,7.749564234229989,1,C级普通
说好开发消消乐，地球战争什么鬼,黑心小C,1429100.0,1068,293600,完本,游戏,Qidian,7.421304982280592,1,C级普通
CS：最后一舞，舞成职业通天代,Iced子夜,1071000.0,3750,36800,连载,游戏,Qidian,34.69010175763182,1,C级普通
星渊行者,失落叶,2059800.0,2105,172600,连载,游戏,Qidian,10.170064740554643,1,C级普通
LOL：才满18，让我逆袭重生,五分想象,2451400.0,4156,239400,连载,游戏,Qidian,16.884699764361745,1,C级普通
超神机械师,齐佩甲,5168700.0,1684,9187100,完本,游戏,Qidian,3.2517813350840945,2,B级腰部
蒸汽世界的奥秘侦探,西贝猫,1459199.0,1586,85900,连载,游戏,Qidian,10.794997818539215,1,C级普通
熊学派的阿斯塔特,你干嘛呀你,5958900.0,925,208600,连载,游戏,Qidian,1.5496992745732046,1,C级普通
